,country,pay,count
112,Kenya,$20k - $40k,1
113,Kenya,$100k - $120k,1
114,Japan,"Less than $20,000",2
115,Japan,$80k - $100k,1
116,Japan,$60k - $80k,1
117,Japan,$40k - $60k,1
118,Japan,$100k - $120k,2
119,Italy,"Less than $20,000",4
120,Italy,$60k - $80k,1
121,Italy,$40k - $60k,3
122,Italy,$20k - $40k,6
123,Israel ,$120k - $140k,1
124,Israel,$140k - $160k,1
125,Ireland,$80k - $100k,1
126,Ireland,$60k - $80k,3
127,Ireland,$40k - $60k,1
128,Indonesia,"Less than $20,000",1
129,Indonesia,$20k - $40k,1
130,Indonesia,$200k+,1
131,India ,"Less than $20,000",3
132,India ,$40k - $60k,1
133,India,"Less than $20,000",15
134,India,$80k - $100k,3
135,India,$60k - $80k,2
136,India,$40k - $60k,5
137,India,$20k - $40k,8
138,India,$180k - $200k,1
139,India,$140k - $160k,1
140,India,$120k - $140k,1
141,India,$100k - $120k,2
142,Hungary,"Less than $20,000",3
143,Hungary,$20k - $40k,1
144,Hong Kong ,$120k - $140k,1
145,Hong Kong,$60k - $80k,1
146,Hong Kong,$120k - $140k,1
147,Greece,$20k - $40k,2
148,Germany ,"Less than $20,000",1
149,Germany ,$80k - $100k,1
150,Germany ,$60k - $80k,1
151,Germany ,$40k - $60k,1
152,Germany ,$20k - $40k,1
153,Germany ,$200k+,1
154,Germany,"Less than $20,000",2
155,Germany,$80k - $100k,1
156,Germany,$60k - $80k,11
157,Germany,$40k - $60k,8
158,Germany,$20k - $40k,4
159,Germany,$120k - $140k,2
160,Germany,$100k - $120k,3
161,Georgia,$40k - $60k,1
162,France,"Less than $20,000",1
163,France,$80k - $100k,4
164,France,$60k - $80k,3
165,France,$40k - $60k,8
166,France,$20k - $40k,7
167,France,$160k - $180k,1
168,France,$100k - $120k,2
169,Finland ,$40k - $60k,1
170,Finland,$60k - $80k,2
171,Finland,$40k - $60k,4
172,Finland,$20k - $40k,1
173,Europe,$120k - $140k,1
174,Estonia,$20k - $40k,1
175,England ,$60k - $80k,1
176,England,$80k - $100k,1
177,England,$60k - $80k,1
178,England,$40k - $60k,4
179,England,$20k - $40k,2
180,England,$100k - $120k,1
181,El Salvador,"Less than $20,000",1
182,Egypt ,$20k - $40k,1
183,Ecuador,$20k - $40k,1
184,Dominican Republic,"Less than $20,000",1
185,Denmark,$80k - $100k,1
186,Denmark,$40k - $60k,1
187,Denmark,$20k - $40k,1
188,Cuba,"Less than $20,000",1
189,Croatia,$80k - $100k,1
190,Costa Rica,$40k - $60k,1
191,Costa Rica,$20k - $40k,1
192,Colombia,"Less than $20,000",3
193,Colombia,$80k - $100k,1
194,Colombia,$40k - $60k,1
195,Colombia,$20k - $40k,5
196,China,$40k - $60k,1
197,Chile,$60k - $80k,1
198,Chile,$20k - $40k,2
199,Canada,"Less than $20,000",2
200,Canada,$80k - $100k,13
201,Canada,$60k - $80k,18
202,Canada,$40k - $60k,8
203,Canada,$20k - $40k,5
204,Canada,$200k+,3
205,Canada,$140k - $160k,2
206,Canada,$120k - $140k,4
207,Canada,$100k - $120k,7
208,Brazil,"Less than $20,000",7
209,Brazil,$80k - $100k,4
210,Brazil,$60k - $80k,1
211,Brazil,$40k - $60k,2
212,Brazil,$20k - $40k,3
213,Brazil,$100k - $120k,1
214,Bermuda,$80k - $100k,1
215,Belgium,$80k - $100k,1
216,Belgium,$40k - $60k,1
217,Belgium,$20k - $40k,5
218,Belgium,$100k - $120k,1
219,Belarus ,"Less than $20,000",1
220,Belarus,"Less than $20,000",1
221,Belarus,$40k - $60k,1
222,Austria,"Less than $20,000",2
223,Austria,$80k - $100k,1
224,Austria,$100k - $120k,1
225,Australia,"Less than $20,000",1
226,Australia,$80k - $100k,6
227,Australia,$60k - $80k,5
228,Australia,$40k - $60k,1
229,Australia,$200k+,1
230,Australia,$180k - $200k,2
231,Australia,$140k - $160k,3
232,Australia,$120k - $140k,1
233,Australia,$100k - $120k,6
234,Argentina,"Less than $20,000",8
235,Argentina,$40k - $60k,1
236,Argentina,$20k - $40k,2
